quest	title	category	confidence	detail
10999	One Shot, One Kill	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11335	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11336	Call to Arms: Alterac Valley	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11337	Call to Arms: Eye of the Storm	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11338	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11339	Call to Arms: Arathi Basin	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11340	Call to Arms: Alterac Valley	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11341	Call to Arms: Eye of the Storm	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11342	Call to Arms: Warsong Gulch	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11401	Call the Headless Horseman	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11402	Clayton's Quest: Extreme!!	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11404	Call the Headless Horseman	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11405	Call the Headless Horseman	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11496	The Sanctum Wards	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11513	Intercepting the Mana Cells	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11520	Discovering Your Roots	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11524	Erratic Behavior	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11532	Distraction at the Dead Scar	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11535	Making Ready	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11539	Taking the Harbor	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11542	Intercept the Reinforcements	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11545	A Charitable Donation	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
11691	Summon Ahune	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
12062	Insult Coren Direbrew	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
13405	Call to Arms: Strand of the Ancients	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
13407	Call to Arms: Strand of the Ancients	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
13427	Call to Arms: Alterac Valley	missing_starter	suspected	No static NPC/object/item relation; script/automatic handling must be checked
