guid	events	entry	map	x	y	z	terrain_z	vmap_below	vmap_above	vmap_status	name	terrain_gap	flight	VehicleId	phaseMask	phaseId	phaseGroup	spawnMask	spawn_npcflag	spawn_unit_flags
371457		6491	0	-5609.93994	5463.22021	-1231.90002	-500	-200000	-200000	1	Spirit Healer	731.9	0	0	65535	0	0	1	0	0
293045		53677	0	-5838.0498	5399.5	-1216.08997	-500	-200000	-200000	1	Hydrius	716.09	0	0	1	0	0	1	0	0
201532		44540	0	-5841.18018	5390.70996	-1213.89001	-500	-200000	-200000	1	Legionnaire Nazgrim	713.89	0	0	1	0	0	1	0	0
293043		53652	0	-5835.41992	5388.52002	-1213.06995	-500	-200000	-200000	1	Aggra	713.07	0	0	1	0	0	1	0	0
201507		41640	0	-5661.91016	6089.6499	-1030.97998	-500	-1037.08362	-1037.08362	1	Wavespeaker Valoren	530.98	0	0	1	0	0	1	0	0
201515		41908	0	-6292.81006	6486.77979	-864.739014	-500	-903.360962	-903.360962	1	Orako	364.739	0	0	1	0	0	1	0	0
371459		6491	0	-6303.27979	6046.85986	-788.617004	-500	-200000	-200000	1	Spirit Healer	288.617	0	0	65535	0	0	1	0	0
206247		40639	0	-6347.04004	4305.22021	-682.882996	-500	-200000	-200000	1	Engineer Hexascrub	182.883	0	0	1	0	0	1	0	0
206248		40641	0	-6344.43018	4305.22021	-682.612976	-500	-200000	-200000	1	Divemaster Birmingham	182.613	0	0	1	0	0	1	0	0
371460		6491	0	-6812.62012	6114.47998	-616.065979	-500	-200000	-200000	1	Spirit Healer	116.066	0	0	65535	0	0	1	0	0
208823		40640	0	-6662.79004	4770.2998	-606.229004	-500	-200000	-200000	1	Lady Naz'jar	106.229	0	0	1	0	0	1	0	0
208822		41050	0	-6650.62012	4790.52002	-606.187012	-500	-200000	-200000	1	Sira'kess Tide Priestess	106.187	0	0	1	0	0	1	0	0
371455		6491	0	-6799.5498	4553.43018	-604.844971	-500	-200000	-200000	1	Spirit Healer	104.845	0	0	65535	0	0	1	0	0
137620	42	34950	530	2785.41992	2673.12012	-12.3449001	76.4653397	-200000	-200000	1	Isle of Conquest Emissary	88.81	0	0	65535	0	0	1	0	0
206389		40851	0	-6088.91016	4279.49023	-353.684998	-273.721344	-360.264069	-360.264069	1	Swift Seahorse	79.964	0	0	1	0	0	1	0	0
185315		43275	0	-8805.83008	-2206.83008	144.330994	202.012161	130.899567	130.899567	1	Danforth	57.681	0	0	1	0	0	1	0	0
93729	42	34950	0	-8387.09961	285.653992	120.885002	144.852798	-200000	-200000	1	Isle of Conquest Emissary	23.968	0	0	65535	0	0	1	0	0
581266		70561	1064	6158.18994	5040.8999	20.5067997	37.6159401	-200000	-200000	1	Assignment Map	17.109	0	0	1	0	0	1	0	0
125602	22	15700	1	1641.10999	-4105.54004	30.8178997	47.7411575	-200000	-200000	1	Warlord Gorchuk	16.923	0	0	65535	0	0	1	0	0
124537	22	15508	1	1614.56006	-4135.79004	32.5838013	47.5915298	-200000	-200000	1	Batrider Pele'keiki	15.008	0	0	65535	0	0	1	0	0
124544	22	15532	1	1567.81006	-4153.08008	37.9278984	51.575058	-200000	-200000	1	Stoneguard Clayhoof	13.647	0	0	65535	0	0	1	0	0
119865	22	15739	1	1605.39001	-4144.29004	34.0399017	47.4840431	-200000	-200000	1	Thunder Bluff Commendation Officer	13.444	0	0	65535	0	0	1	0	0
124545	22	15533	1	1629.85999	-4095.07007	34.1192017	47.377903	-200000	-200000	1	Bloodguard Rawtar	13.259	0	0	65535	0	0	1	0	0
126811	22	15736	1	1598.41003	-4101.85986	33.7831001	46.8912125	-200000	-200000	1	Orgrimmar Commendation Officer	13.108	0	0	65535	0	0	1	0	0
206322		39882	0	-5863.39014	4678.62012	-512.804993	-500	-200000	-200000	1	The Great Sambino	12.805	0	0	1	0	0	1	0	0
