guid	entry	map	x	y	z	terrain_z	vmap_below	vmap_above	vmap_status
4000103	990912	870	5942.81006	1154.81006	60.7055016	60.6895142	-200000	-200000	1
4000099	990912	870	2700.42993	1770.89001	643.13501	643.13501	-200000	-200000	1
4000100	990912	870	2793.05005	1498.54004	648.809998	649.622314	-200000	-200000	1
4000101	990912	870	2828.36011	394	506.859985	506.931122	503.017365	512.492737	1
4000098	990912	870	2376.87012	538.02002	492.631989	492.632324	-200000	-200000	1
4000097	990912	870	1940.93005	1473.58997	482.747986	482.824585	-200000	-200000	1
4000104	990912	870	-525.875977	-4950.77002	-6.27699995	2.05596256	-200000	-200000	1
4000106	990912	870	-532.156982	-5076.77002	-6.27699995	-3.99442577	-6.62884903	-4.17123985	1
4000108	990912	870	-97.3675003	-5395.31982	150.104996	123.07769	150.103836	150.103836	1
4000096	990912	870	-653	-71.740303	155.839005	155.121704	154.54277	154.54277	1
4000105	990912	870	-765.804016	-4955.08008	-6.19399977	-6.26146126	-7.10537386	0.522627831	1
4000107	990912	870	-767.968994	-5080.93994	-6.19399977	-3.48724532	-6.60674	0.138551712	1
4000102	990912	1064	7040.91992	5227.68994	84.2520981	84.250351	-200000	-200000	1
