entry	name	AIName	ScriptName	VehicleId	events	spawns
2530	Yenniku	SmartAI	npc_yenniku	0	14	1
3193	Misha Tor'kren	SmartAI	npc_watershed_patrol	0	1	1
3698	Bolyun	SmartAI	npc_pet_trainer	0	3	1
3887	Baron Silverlaine	SmartAI	boss_baron_silverlaine	0	1	1
4700	Aged Kodo	SmartAI	npc_aged_dying_ancient_kodo	0	16	26
4702	Ancient Kodo	SmartAI	npc_aged_dying_ancient_kodo	0	16	4
7784	Homing Robot OOX-17/TN	SmartAI	npc_OOX17	0	28	1
7955	Milli Featherwhistle	SmartAI	npc_mount_vendor	0	4	1
9025	Lord Roccor	SmartAI	npc_lord_roccor	0	2	1
12818	Ruul Snowhoof	SmartAI	npc_ruul_snowhoof	0	4	1
15170	Rutgar Glyphshaper	SmartAI	npcs_rutgar_and_frankal	0	2	1
15171	Frankal Stonebridge	SmartAI	npcs_rutgar_and_frankal	0	2	1
16993	Wounded Blood Elf Pilgrim	SmartAI	npc_wounded_blood_elf	0	30	1
17682	Princess Stillpine	SmartAI	npc_princess_stillpine	0	2	1
17900	Ashyen	SmartAI	npcs_ashyen_and_keleth	0	12	1
17901	Keleth	SmartAI	npcs_ashyen_and_keleth	0	12	1
18210	Mag'har Captive	SmartAI	npc_maghar_captive	0	36	1
18369	Corki	SmartAI	npc_corki	0	6	1
18445	Corki	SmartAI	npc_corki	0	6	1
19995	Bladespire Brute	SmartAI	npc_ogre_brute	0	3	35
20812	Corki	SmartAI	npc_corki	0	6	1
21847	Fel Guard Hound	SmartAI	npc_fel_guard_hound	0	7	2
24224	Corrupted Lightning Totem	SmartAI	npc_halazzi_lightning_totem	0	1	0
24484	Brewfest Reveler	SmartAI	npc_brewfest_reveler	0	7	89
25059	Ayren Cloudbreaker	SmartAI	npc_taxi	0	3	1
26206	Keristrasza	SmartAI	npc_keristrasza	0	4	0
28217	Injured Rainspeaker Oracle	SmartAI	npc_injured_rainspeaker_oracle	0	16	5
29611	King Varian Wrynn	SmartAI	npc_king_varian_wrynn	0	3	1
29931	Drakkari Rhino	SmartAI	npc_drakkari_rhino	209	4	0
33532	Wolvar Orphan	SmartAI	npc_summoned_orphan	0	1	0
33533	Oracle Orphan	SmartAI	npc_summoned_orphan	0	1	0
34503	Razormane Pillager	SmartAI	npc_razormane_pillager	0	13	53
34514	Hogtied Razormane	SmartAI	npc_razormane_pillager	0	11	0
36272	Apothecary Frye	SmartAI	npc_apothecary_frye	0	1	1
36296	Apothecary Hummel	SmartAI	npc_apothecary_hummel	0	3	1
36565	Apothecary Baxter	SmartAI	npc_apothecary_baxter	0	1	1
36724	Servant of the Throne	SmartAI	npc_servant_of_the_throne_icc	0	2	11
36805	Deathspeaker Servant	SmartAI	npc_deathspeaker_servant_10man_icc	0	3	2
36807	Deathspeaker Disciple	SmartAI	npc_deathspeaker_disciple_10man_icc	0	3	4
36808	Deathspeaker Zealot	SmartAI	npc_deathspeaker_zealot_icc	0	1	3
